ParName   Value   Gradient
theta[1]     0.290661  0.000805829
theta[2]     0.273051 -0.000403875
theta[5]      6.60517   -0.0060087
theta[13]      9.60189  3.57339e-06
theta[14]      9.61527 -1.24359e-05
theta[15]      9.66608  6.45641e-06
theta[16]      9.89317  2.16523e-07
theta[17]      10.5897 -3.66226e-06
theta[18]      11.2648 -1.89171e-05
theta[19]      11.6988 -3.11544e-05
theta[20]      11.8786 -1.16983e-05
theta[21]      11.9186 -1.90277e-05
theta[22]      11.9448  -4.0779e-06
theta[23]      11.9378 -8.37922e-06
theta[24]      11.7248 -2.89548e-05
theta[25]      11.4973 -7.14551e-05
theta[26]      11.3251 -0.000151204
theta[27]      11.3667 -0.000254575
theta[28]       11.179 -0.000183596
theta[29]      10.4608 -0.000162985
theta[30]      9.56019 -0.000109507
theta[31]      8.53489 -8.40974e-06
theta[32]      7.54158   6.7984e-06
theta[33]      6.74787 -7.48272e-06
theta[34]      6.31705 -6.27048e-06
theta[35]      14.0819  0.000192381
theta[36]      13.8189 -2.30246e-05
theta[37]      13.3667 -0.000113999
theta[38]      13.4038 -0.000234076
theta[39]      12.7276 -0.000183876
theta[40]      12.7604 -0.000230251
theta[41]      12.5402 -0.000241389
theta[42]      12.1746 -0.000187955
theta[43]      11.8481 -0.000196171
theta[44]      11.4091 -0.000187474
theta[45]      10.7368 -0.000127156
theta[46]      10.2882 -8.45559e-05
theta[47]      10.1039 -8.08119e-05
theta[48]       9.4629 -5.48172e-05
theta[49]      8.31278 -1.93247e-05
theta[50]      7.26928  4.13091e-06
theta[51]      6.47494  1.81641e-05
theta[52]      5.90044  1.00447e-05
theta[53]      5.48386  3.60704e-06
theta[54]      5.17742 -3.41175e-05
theta[55]      4.96549  -2.6467e-05
theta[56]      4.85701  3.70538e-07
theta[57]       12.143 -2.67625e-06
theta[58]      12.1516  2.44848e-06
theta[59]      12.1844  1.76353e-06
theta[60]      12.3635  6.17215e-06
theta[61]      13.3647  5.84899e-05
theta[62]      13.6277 -9.38058e-05
theta[63]      13.1731  4.72158e-05
theta[64]        12.31   0.00010374
theta[65]      11.2609  0.000137887
theta[66]      10.0956  0.000118461
theta[67]      9.29147  8.26388e-05
theta[68]      8.72557  8.49524e-05
theta[69]      8.38947  7.58739e-05
theta[70]      8.10455  5.57829e-05
theta[71]      7.82855   9.9767e-05
theta[72]      7.54496  2.94351e-05
theta[73]      7.29221  3.64055e-05
theta[74]      7.07061  6.14463e-05
theta[75]      6.88272  2.84598e-05
theta[76]      6.73263  4.77288e-05
theta[77]      6.62525  6.11377e-05
theta[78]      6.56647  6.20101e-05
theta[79]      7.10972 -3.93576e-05
theta[80]      7.09106 -3.85979e-05
theta[81]      7.08943  5.14206e-06
theta[82]      6.96158  2.36584e-05
theta[83]       7.1803  3.55034e-05
theta[84]      7.45398 -6.55476e-06
theta[85]      6.57382  1.79559e-05
theta[86]      5.50563  1.92213e-05
theta[87]      4.58398  1.04286e-05
theta[88]      3.89182 -3.54422e-06
theta[89]      3.40919  5.90285e-06
theta[90]      3.07066  5.49709e-06
theta[91]      2.79692 -6.98023e-06
theta[92]      2.57193 -2.43913e-05
theta[93]      2.38128  3.79384e-05
theta[94]      2.21768  2.11722e-06
theta[95]       2.0774 -4.83661e-06
theta[96]       1.9586 -1.24131e-05
