ParName   Value   Gradient
theta[1]     0.270318  -0.00171405
theta[4]      11.7561    0.0225492
theta[10]       12.017 -1.11467e-06
theta[11]      12.0268 -7.77107e-08
theta[12]      12.0926   9.9008e-06
theta[13]      12.4169 -3.50742e-06
theta[14]      12.8336 -1.07398e-05
theta[15]      13.0234  1.18233e-05
theta[16]      13.1032  2.03566e-05
theta[17]      13.1401  4.11063e-05
theta[18]      13.2292  2.02433e-05
theta[19]      13.1975 -8.02403e-06
theta[20]      12.9709 -1.38834e-05
theta[21]      12.5715 -4.60331e-06
theta[22]      12.2309  1.41063e-05
theta[23]      12.0183  1.81677e-05
theta[24]      11.7906  1.79114e-06
theta[25]      11.3208  1.88905e-05
theta[26]      10.8864  5.31464e-06
theta[27]      10.5881 -1.07696e-05
theta[28]      10.2705 -2.54107e-05
theta[29]      9.71382 -1.63922e-05
theta[30]      8.97924 -9.01201e-06
theta[31]      8.42734  2.15725e-05
theta[32]      14.5635  8.54993e-05
theta[33]      14.6519  3.90313e-05
theta[34]      14.9838 -0.000139689
theta[35]      14.9424 -0.000391752
theta[36]      14.6341 -0.000306228
theta[37]      14.3992 -0.000102247
theta[38]      14.2579  6.17045e-05
theta[39]      14.0833  0.000119834
theta[40]      14.0934  0.000109471
theta[41]      14.0799  0.000118487
theta[42]      13.6961   0.00011451
theta[43]      13.2156  3.86745e-05
theta[44]      12.8818 -1.04704e-05
theta[45]       12.345  -4.0421e-05
theta[46]      11.2878 -3.13461e-05
theta[47]      10.1439 -2.47598e-05
theta[48]      9.27503 -3.03261e-05
theta[49]      8.66794 -6.53582e-06
theta[50]      8.22849 -1.36305e-05
theta[51]       7.8796 -1.17916e-06
theta[52]      7.59033  8.73002e-06
theta[53]      7.39141 -7.29405e-06
Grwth[1]       2.0675    0.0027397
Grwth[2]    -0.222152  -0.00624131
log_slx_pars[1]      4.29221   0.00437187
log_slx_pars[2]      2.99573  7.04966e-05
log_slx_pars[3]     -4.54012  2.42751e-05
log_slx_pars[4]     -3.65277   3.1419e-05
log_slx_pars[5]     -2.95334  -0.00010058
log_slx_pars[6]     -1.99147 -0.000179553
log_slx_pars[7]     -1.89131  6.21458e-05
log_slx_pars[8]     -1.67023  0.000171528
log_slx_pars[9]      -1.4742 -1.77083e-05
log_slx_pars[10]     -1.35943   3.0904e-05
log_slx_pars[11]     -1.39654  2.12565e-05
log_slx_pars[12]     -1.34108  8.38554e-06
log_slx_pars[13]      -1.2175  3.26205e-05
log_slx_pars[14]     -1.08082  5.59729e-05
log_slx_pars[15]    -0.943308  4.76732e-05
log_slx_pars[16]    -0.733276  2.27187e-05
log_slx_pars[17]    -0.580584  3.24404e-05
log_slx_pars[18]    -0.479137  3.78431e-05
log_slx_pars[19]    -0.412615  1.86805e-05
log_slx_pars[20]    -0.320532  2.36403e-05
log_slx_pars[21]    -0.277437   1.9595e-05
log_slx_pars[22]    -0.215461     1.35e-05
log_slx_pars[23]    -0.194216 -7.89055e-05
log_slx_pars[24]    -0.217752 -4.42675e-05
log_slx_pars[25]      4.63122   -0.0124606
log_slx_pars[26]     0.821236  0.000250959
log_fbar[1]    -0.452605  -0.00943414
log_fdev[1](1)     0.490131  4.23249e-05
